customer_id,name,type,country,city,industry,email,credit_limit,payment_terms,account_manager,registration_date
1,Customer0,B2B,UK,London,Retail,cust0@mail.com,74937,Net60,Emma,2021-10-29
2,Customer1,B2B,UAE,Dubai,Logistics,cust1@mail.com,13715,Net60,Emma,2021-09-14
3,Customer2,B2C,USA,New York,Manufacturing,cust2@mail.com,87483,Net30,John,2020-02-01
4,Customer3,B2B,USA,New York,Logistics,cust3@mail.com,99978,Net30,Emma,2022-01-13
5,Customer4,B2B,USA,New York,Logistics,cust4@mail.com,82464,Net30,John,2020-08-24
6,Customer5,B2C,UK,London,Retail,cust5@mail.com,64549,Net30,Sara,2021-10-06
7,Customer6,B2B,Germany,Berlin,Logistics,cust6@mail.com,76547,Net30,John,2020-10-17
8,Customer7,B2C,Pakistan,Lahore,Retail,cust7@mail.com,72944,Net30,David,2022-03-27
9,Customer8,B2C,UAE,Dubai,Tech,cust8@mail.com,81932,Net60,Ali,2021-03-25
10,Customer9,B2B,Pakistan,Lahore,Logistics,cust9@mail.com,58565,Net60,David,2020-01-31
11,Customer10,B2B,UAE,Dubai,Logistics,cust10@mail.com,94824,Net30,Sara,2021-05-29
12,Customer11,B2B,UK,London,Manufacturing,cust11@mail.com,63012,Net60,Ahmed,2020-12-27
13,Customer12,B2C,UAE,Dubai,Logistics,cust12@mail.com,77174,Net30,Ahmed,2022-03-07
14,Customer13,B2B,Pakistan,Lahore,Retail,cust13@mail.com,73058,Net60,Ahmed,2021-07-21
15,Customer14,B2C,UK,London,Tech,cust14@mail.com,64319,Net60,Ali,2021-07-05
16,Customer15,B2C,Pakistan,Lahore,Retail,cust15@mail.com,40094,Net30,Ahmed,2021-08-21
17,Customer16,B2B,UK,London,Retail,cust16@mail.com,98226,Net30,Ali,2022-06-07
18,Customer17,B2C,USA,New York,Tech,cust17@mail.com,42710,Net60,Ali,2022-03-27
19,Customer18,B2B,Pakistan,Lahore,Tech,cust18@mail.com,19111,Net30,Sara,2020-09-18
20,Customer19,B2B,Pakistan,Lahore,Tech,cust19@mail.com,69598,Net60,Emma,2021-04-30
21,Customer20,B2B,USA,New York,Logistics,cust20@mail.com,55002,Net60,Sara,2020-09-21
22,Customer21,B2C,USA,New York,Logistics,cust21@mail.com,12728,Net30,Ali,2021-02-10
23,Customer22,B2B,UK,London,Logistics,cust22@mail.com,76362,Net60,Ahmed,2022-05-02
24,Customer23,B2C,UK,London,Retail,cust23@mail.com,61760,Net60,David,2021-10-08
25,Customer24,B2B,UAE,Dubai,Manufacturing,cust24@mail.com,37804,Net30,John,2020-03-13
26,Customer25,B2C,USA,New York,Manufacturing,cust25@mail.com,64548,Net60,Sara,2020-01-09
27,Customer26,B2B,Pakistan,Lahore,Logistics,cust26@mail.com,32481,Net30,Emma,2020-07-24
28,Customer27,B2B,Germany,Berlin,Logistics,cust27@mail.com,87517,Net30,Emma,2020-04-16
29,Customer28,B2C,UAE,Dubai,Retail,cust28@mail.com,52643,Net60,John,2020-01-19
30,Customer29,B2B,UK,London,Manufacturing,cust29@mail.com,54445,Net60,Sara,2020-09-29
31,Customer30,B2C,USA,New York,Logistics,cust30@mail.com,79798,Net30,Ali,2022-01-12
32,Customer31,B2B,USA,New York,Manufacturing,cust31@mail.com,31830,Net30,John,2022-02-16
33,Customer32,B2C,Germany,Berlin,Tech,cust32@mail.com,54601,Net30,John,2020-08-28
34,Customer33,B2C,Pakistan,Lahore,Retail,cust33@mail.com,52038,Net30,Emma,2020-03-15
35,Customer34,B2B,UAE,Dubai,Tech,cust34@mail.com,25032,Net60,Ali,2021-08-07
36,Customer35,B2B,Pakistan,Lahore,Tech,cust35@mail.com,57827,Net60,Ahmed,2021-07-01
37,Customer36,B2C,USA,New York,Retail,cust36@mail.com,15996,Net60,Ali,2021-09-20
38,Customer37,B2B,USA,New York,Retail,cust37@mail.com,15245,Net30,Sara,2022-03-15
39,Customer38,B2C,Pakistan,Lahore,Retail,cust38@mail.com,69101,Net30,David,2020-09-04
40,Customer39,B2B,UK,London,Logistics,cust39@mail.com,81162,Net60,Ahmed,2020-09-16
41,Customer40,B2C,UAE,Dubai,Manufacturing,cust40@mail.com,95465,Net60,Ali,2020-01-28
42,Customer41,B2C,USA,New York,Logistics,cust41@mail.com,61284,Net60,Emma,2020-03-05
43,Customer42,B2C,USA,New York,Retail,cust42@mail.com,42776,Net30,Ahmed,2022-03-07
44,Customer43,B2C,Pakistan,Lahore,Tech,cust43@mail.com,34015,Net30,John,2020-07-22
45,Customer44,B2C,UK,London,Tech,cust44@mail.com,21719,Net60,Ali,2021-10-29
46,Customer45,B2C,Pakistan,Lahore,Logistics,cust45@mail.com,50210,Net30,John,2020-07-10
47,Customer46,B2C,Germany,Berlin,Tech,cust46@mail.com,23231,Net30,Sara,2020-08-13
48,Customer47,B2B,USA,New York,Retail,cust47@mail.com,45135,Net30,David,2020-03-17
49,Customer48,B2B,USA,New York,Tech,cust48@mail.com,74652,Net60,Sara,2020-04-13
